Name,Size,Time
EvenReadsWrites,65536,114820
10pctReads,65536,95912
10pctWrites,65536,103232
WriteOnly,131072,136023
ReadOnly,131072,76929
EvenReadsWrites,131072,188279
10pctReads,131072,179963
10pctWrites,131072,183409
WriteOnly,262144,264211
ReadOnly,262144,161600
EvenReadsWrites,262144,349522
10pctReads,262144,359554
10pctWrites,262144,360440
WriteOnly,524288,554995
ReadOnly,524288,327020
EvenReadsWrites,524288,746996
10pctReads,524288,719624
10pctWrites,524288,714678
WriteOnly,1024,748
ReadOnly,1024,439
EvenReadsWrites,1024,863
10pctReads,1024,1212
10pctWrites,1024,1553
WriteOnly,2048,2238
ReadOnly,2048,876
EvenReadsWrites,2048,2002
10pctReads,2048,1988
10pctWrites,2048,3369
WriteOnly,4096,2989
ReadOnly,4096,1624
EvenReadsWrites,4096,6901
10pctReads,4096,7341
10pctWrites,4096,6439
WriteOnly,8192,9638
ReadOnly,8192,3909
EvenReadsWrites,8192,16847
10pctReads,8192,14622
10pctWrites,8192,14738
WriteOnly,16384,13103
ReadOnly,16384,8883
EvenReadsWrites,16384,28343
10pctReads,16384,38305
10pctWrites,16384,29502
WriteOnly,32768,32763
ReadOnly,32768,19738
EvenReadsWrites,32768,64636
10pctReads,32768,57085
10pctWrites,32768,57623
WriteOnly,65536,65212
ReadOnly,65536,42379
EvenReadsWrites,65536,110013
10pctReads,65536,101090
10pctWrites,65536,100012
WriteOnly,131072,127844
ReadOnly,131072,87462
EvenReadsWrites,131072,188301
10pctReads,131072,180520
10pctWrites,131072,182308
WriteOnly,262144,261738
ReadOnly,262144,170856
EvenReadsWrites,262144,367908
10pctReads,262144,353774
10pctWrites,262144,358842
WriteOnly,524288,541229
ReadOnly,524288,345589
EvenReadsWrites,524288,695369
10pctReads,524288,710843
10pctWrites,524288,717254
WriteOnly,1024,820
ReadOnly,1024,528
EvenReadsWrites,1024,969
10pctReads,1024,1504
10pctWrites,1024,1058
WriteOnly,2048,1361
ReadOnly,2048,1212
EvenReadsWrites,2048,2527
10pctReads,2048,2860
10pctWrites,2048,3002
WriteOnly,4096,3025
ReadOnly,4096,2217
EvenReadsWrites,4096,4737
10pctReads,4096,6916
10pctWrites,4096,8780
WriteOnly,8192,6894
ReadOnly,8192,4493
EvenReadsWrites,8192,19142
10pctReads,8192,17839
10pctWrites,8192,14795
WriteOnly,16384,15137
ReadOnly,16384,9606
EvenReadsWrites,16384,31441
10pctReads,16384,26363
10pctWrites,16384,32357
WriteOnly,32768,35088
ReadOnly,32768,20830
EvenReadsWrites,32768,59276
10pctReads,32768,58480
10pctWrites,32768,50493
WriteOnly,65536,66726
ReadOnly,65536,42388
EvenReadsWrites,65536,104020
10pctReads,65536,99471
10pctWrites,65536,104642
WriteOnly,131072,133737
ReadOnly,131072,89840
EvenReadsWrites,131072,187159
10pctReads,131072,179074
10pctWrites,131072,183712
WriteOnly,262144,261174
ReadOnly,262144,169647
EvenReadsWrites,262144,364204
10pctReads,262144,354498
10pctWrites,262144,370988
WriteOnly,524288,539027
ReadOnly,524288,345897
EvenReadsWrites,524288,704062
